1	But there's this secret between us, and we can never be the same until it is cleared.	Però hi ha aquest secret entre nosaltres, i mai no podrem ser iguals fins que no s'hagi aclarit.	Però hi ha aquest secret entre nosaltres, i mai no podrem ser el mateix fins que no s'hagi aclarit.	Error semàntic de context (the same > ?iguals > el mateix). Postedició mínima.
88	If the cottage is now permanently deserted we may have some difficulty.	Si la casa està permanentment abandonada, és possible que tinguem alguna dificultat.	Si la casa està permanentment abandonada, és possible que tinguem alguna dificultat.	Correcte.
89	Still pulling at my sleeve, she led me away from the cottage.	Encara estant a la màniga, em va allunyar de la caseta.	I encara, estirant-me de la màniga, em va allunyar de la caseta.	Lèxic (pulling > *estant > estirant). Postedició poca.
90	I am sorry that I broke my promise, Jack, said she; but if you knew all the circumstances I am sure that you would forgive me.	Lamento haver incomplert la meva promesa, Jack, va dir ella; Però si coneguessis totes les circumstàncies estic segur que em perdonis.	Lamento haver incomplert la meva promesa, Jack, va dir ella; Però si coneguessis totes les circumstàncies estic segura que em perdonaries.	Gènere del subjecte. Postedició mínima.
91	As I stood there, imagine my surprise, Mr. Holmes, when the door suddenly opened and my wife walked out.	Quan em vaig quedar allà, imagineu la meva sorpresa, senyor Holmes, quan la porta es va obrir de sobte i la meva dona va sortir.	Mentre era dret allà, imagineu la meva sorpresa, senyor Holmes, quan la porta es va obrir de sobte i la meva dona va sortir.	Adverbi (as > ?quan > mentre). Temps verbal. Postedició mínima.
92	Tell me, said he at last, could you swear that this was a man's face which you saw at the window?	Digues-me, va dir finalment: podries jurar que aquesta era la cara d'un home que has vist a la finestra?	Digueu-me, va dir finalment: podríeu jurar que era la cara d'un home, la que heu vist a la finestra?	Manca pronom «la» >> canvi semàntic. Postedició mínima.
93	From every gesture and expression I could see that he was a reserved, self-contained man, with a dash of pride in his nature, more likely to hide his wounds than to expose them.	De cada gest i expressió vaig poder veure que era un home reservat i autònom, amb un orgull de la seva naturalesa, més probable que ocultés les seves ferides que exposar-les.	De cada gest i expressió he pogut veure que era un home reservat i contingut, amb un xic d’orgull en la seva naturalesa, més propens a ocultar les seves ferides que a exposar-les.	Temps verbal. Lèxic (contained > *autònom > contingut). Omissió lèxica (dash). Comparativa mal resolta. Postedició moderada.
94	What on this earth could my wife be doing out on the country road at three in the morning?	Què en aquesta terra podria fer la meva dona a la carretera nacional a les tres de la matinada?	Què diantre podia fer la meva dona a la carretera nacional a les tres de la matinada?	Expressió (What on this earth...). Postedició poca.
95	When I left her in America, she continued, it was only because her health was weak, and the change might have done her harm.	Quan la vaig deixar a Amèrica, va continuar, va ser només perquè la seva salut era feble, i el canvi podria haver fet mal.	Quan la vaig deixar a Amèrica, va continuar, va ser només perquè la seva salut era feble, i el canvi li podria haver fet mal.	Postedició mínima.
96	I was a bit staggered at this, for I had imagined it was simply a new dress or something of the kind that she was after.	Estava una mica escalonat en això, ja que m'havia imaginat que era simplement un vestit nou o alguna cosa del tipus que va ser després.	Estava una mica estupefacte amb això, ja que m'havia imaginat que era simplement un vestit nou o alguna cosa del tipus que ella persegueix.	Lèxic (staggered > *escalonat > estupefacte/sorprès). Última subordinada. Postedició moderada.
97	The furniture and pictures were of the most common and vulgar description, save in the one chamber at the window of which I had seen the strange face.	El mobiliari i les imatges eren de la descripció més comuna i vulgar, excepte en una càmera a la finestra de la qual havia vist l'estranya cara.	El mobiliari i les imatges eren de la mena més comuna i vulgar, excepte en la cambra a la finestra de la qual havia vist l'estranya cara.	Postedició mínima.
98	Not another word did he say of the case until late that night, when he was turning away, with his lighted candle, for his bedroom.	No va dir una altra paraula del cas fins a la nit, quan es va allunyar, amb la seva espelma il·luminada, pel seu dormitori.	No va dir una altra paraula del cas fins a la nit, quan es va allunyar, amb la seva espelma encesa, cap al seu dormitori.	Preposició (for > *per > cap a). Postedició mínima.
99	I could not tell if the face were that of a man or a woman.	No podia dir si la cara fos d'un home o una dona.	No podia dir si la cara era d'un home o una dona.	Temps verbal (were > *fos). Postedició mínima.
100	You might do it once the other way, but not as a constancy.	Podeu fer-ho una altra vegada, però no com a constància. 	Podeu fer-ho una vegada al revés, però no com a constància. 	Retraducció.
101	Next day you had my secret at your mercy, but you nobly refrained from pursuing your advantage.	L'endemà tenia el meu secret a la vostra mà, però no es va abstenir de continuar amb el vostre avantatge.	L'endemà tenies el meu secret a la teva mercè, però et vas refrenar noblement de continuar amb el teu avantatge.	Omissió d’adverbi no crítica (nobly). Afegeix negació >> canvi semàntic. Postedició poca.
102	Well, last Monday evening I was taking a stroll down that way, when I met an empty van coming up the lane, and saw a pile of carpets and things lying about on the grass-plot beside the porch.	Bé, el dilluns a la tarda, passejava d'aquesta manera, quan vaig conèixer una camioneta buida que veia el carril, i veié un munt de catifes i coses que hi havia al parc de la gespa al costat del pòrtic.	Bé, el dilluns a la tarda, passejava avall en aquella direcció, quan vaig trobar-me una camioneta buida que pujava, i vaig veure una pila de catifes i coses que hi havia al parterre de gespa del costat del porxo.	Pèrdua de direcció (taking a stroll down that way). Lèxic (meet > ?conèixer > trobar). Temps verbal (saw > *veia). Preposició (on > *de > al). Postedició elevada.
103	I wish you both to be there as witnesses.	Us desitjo que hi hagi testimonis.	Desitjo que tots dos sigueu allà com a testimonis.	Retraducció.
104	Her name then was Mrs. Hebron.	El seu nom era llavors Mrs. Hebron.	El seu nom era llavors Mrs. Hebron.	Correcte.
105	The cottage had been standing empty this eight months, and it was a pity, for it was a pretty two-storied place, with an old-fashioned porch and honeysuckle about it.	La casa va estar buida durant vuit mesos i va ser una llàstima, ja que era un lloc molt bonic, amb un porxo i lligabosc antics.	La casa va estar buida aquests vuit mesos i va ser una llàstima, ja que era un lloc molt bonic, amb un porxo antic i lligabosc al voltant.	Omissió (two-storied). Descol·loca (old-fashioned). Omissió expressió locativa (about it). Postedició moderada.
106	It happened that my way took me past the cottage, and I stopped for an instant to look at the windows, and to see if I could catch a glimpse of the strange face which had looked out at me on the day before.	Va passar que el meu camí em va fer passar per la casa de camp, i em vaig aturar un instant per mirar les finestres i veure si podia veure l'estranya cara que m'havia mirat el dia anterior.	Va passar que el meu camí em va fer passar per la casa de camp, i em vaig aturar un instant per mirar les finestres i veure si podia veure l'estranya cara que m'havia mirat el dia anterior.	Correcte.
107	I vowed that, come what might, it should be a secret no longer.	Jo vaig prometre que, vingui el que pugui, ja no hauria de ser un secret.	Jo vaig prometre que, passés el que passés, ja no hauria de ser més un secret.	Locució. Postedició mínima.
108	It was you who told me first that the cottage was occupied.	Va ser vostè qui em va dir abans que la casa estava ocupada.	Va ser vostè qui em va dir primer que la casa estava ocupada.	Adverbi. Postedició mínima.
109	I am going to force my way in and see for myself who is in the house.	Vaig a forçar el meu camí i veure per mi qui està a la casa.	Entraré per la força i veuré per mi mateix qui hi ha a la casa.	Expressió (force my way in > *forçar el meu camí > forçaré l’entrada/entraré per la força). Distinció estar/haver-hi. Postedició moderada.
110	She flies from him at last, returns to England, changes her name, and starts her life, as she thinks, afresh.	Vola d'ell per fi, torna a Anglaterra, canvia el seu nom i comença la seva vida, com pensa, de nou.	S’allunya d'ell per fi, torna a Anglaterra, canvia el seu nom i comença la seva vida, com ella pensa, de nou.	Traducció literal (flies > ?vola > s’allunya) Postedició poca.
111	I should have waited for the morning, but I could not sleep for excitement, and so at last I slipped out, knowing how difficult it is to awake you.	Hauria d'haver esperat el matí, però no vaig poder dormir per excitació, i per fi em vaig escapar, sabent el difícil que és despertar-te.	Hauria d'haver esperat al matí, però no vaig poder dormir per excitació, i per fi em vaig escapar, sabent el difícil que és despertar-te.	Correcte.
112	Your very voice changes as you speak.	La teva veu canvia a mesura que parles.	La teva veu canvia a mesura que parles.	Correcte.
113	It was a very dark night, and a thin rain began to fall as we turned from the high road into a narrow lane, deeply rutted, with hedges on either side.	Va ser una nit molt fosca, i va començar a caure una pluja fina a mesura que passàvem des de la carretera alta cap a un carril estret, profundament travessat, amb tanques a banda i banda.	Va ser una nit molt fosca, i va començar a caure una pluja fina a mesura que passàvem de la carretera a una pista estreta, profundament solcada, amb tanques (o bardisses) a banda i banda.	Lèxic (high road > *carretera alta). Postedició poca.
114	The man must value the pipe highly when he prefers to patch it up rather than buy a new one with the same money.	L'home ha de valorar molt la pipa quan prefereix patxear-la i no comprar-ne una amb els mateixos diners.	L'home ha de valorar molt la pipa quan prefereix apedaçar-la més que no comprar-ne una altra amb els mateixos diners.	Lèxic (to patch > *patxear > apedaçar). Omissió (a new one). Postedició mínima.
115	Now it has, you see, been twice mended, once in the wooden stem and once in the amber.	Ara, ho veieu, ha estat reparat dues vegades, una vegada a la tija de fusta i una vegada a l'ambre.	Ara, ho veus, ha estat reparada dues vegades, una a la tija de fusta i una altra a l'ambre.	Gènere. Postedició mínima.
116	There's been a gentleman here asking for you, sir.	He estat un cavaller aquí demanant-te, senyor.	Ha vingut un senyor aquí preguntant per vostè, senyor.	Error subjecte >> canvi semàntic. Postedició moderada
117	I'll tell you what I know about Effie's history.	Us explicaré el que sé de la història d'Effie.	Us explicaré el que sé de la història d'Effie.	Correcte.
118	I trust that we may do as much for you.	Confio que puguem fer-ho tant per vostè.	Confio que puguem fer igual per vós.	Adverbial complicada. Postedició poca.
119	You are at liberty to preserve your secret, but you must promise me that there shall be no more nightly visits, no more doings which are kept from my knowledge.	Teniu la llibertat de conservar el vostre secret, però heu de prometre'm que no hi haurà més visites nocturnes, ni més coses que es conserven del meu coneixement.	Tens la llibertat de conservar el teu secret, però has de prometre'm que no hi haurà més visites nocturnes, ni més coses que s’amaguin al meu coneixement.	Lèxic de context (keep > ?conservar > amagar). Postedició poca.
120	Have you ever seen a photograph of her first husband?	Alguna vegada has vist una fotografia del seu primer marit?	Alguna vegada heu vist una fotografia del seu primer marit?	Postedició mínima.
121	She was given to the care of a faithful Scotch woman who had once been our servant.	Va rebre la cura d'una fidel escocesa que havia estat el nostre servent.	Va ser donada a cura d’una fidel dona escocesa que havia estat la nostra serventa.	Gènere. Omissió de substantiu (woman). Expressió (she was given to the care of). Postedició moderada.
122	Her face was turned away as we entered, but we could see that she was dressed in a red frock, and that she had long white gloves on.	El rostre s'apartava mentre entravem, però vam poder veure que estava vestida amb un vestit vermell, i que tenia llargs guants blancs.	El seu rostre s'apartava mentre entràvem, però vam poder veure que anava vestida amb un vestit vermell i que duia posats uns llargs guants blancs.	Verbs ben conjugats, però poc acurats. Postedició poca.
123	My wife had gone over there, and had asked the servant to call her if I should return.	La meva dona hi havia anat allà, i li havia demanat que el servent la cridés si tornaria.	La meva dona havia anat allà, i li havia demanat a la serventa que la cridés si jo tornava.	Díctic superflu (hi). Pleonasme (li). Construcció complicada al final. Postedició moderada.
124	For two days after this I stayed at home, and my wife appeared to abide loyally by our engagement, for, as far as I know, she never stirred out of the house.	Durant dos dies després d'això, em vaig quedar a casa, i la meva dona semblava respectar lleialment el nostre compromís, ja que, pel que sé, mai no va sortir de casa.	Durant dos dies després d'això, em vaig quedar a casa, i la meva dona semblava respectar lleialment el nostre compromís, ja que, pel que sé, mai no va sortir de casa.	Correcte.
125	What do you think of my theory?	Què penses de la meva teoria?	Què en penses de la meva teoria?	Pronom feble. Postedició mínima.
126	The fact is that I felt as though I were choking, and had a perfect longing for a breath of fresh air.	El fet és que em sentia com si estigués ofegant-me, i tingués un anhel perfecte per a un aire fresc.	El fet és que em sentia com si estigués ofegant-me, i tingués un anhel perfecte d’aire fresc.	Omissió no crítica (breath). Preposició (*per a/ de). Postedició poca.
127	I tell you that there never was a shadow between us until this accursed affair began.	Et dic que mai no hi havia una ombra entre nosaltres fins que aquest assumpte maleït comencés.	Li dic que mai hi havia hagut una ombra entre nosaltres fins que aquest assumpte maleït començà.	Correlació temps verbals. Postedició poca.
128	I don't know what there was about that face, Mr. Holmes, but it seemed to send a chill right down my back.	No sé què hi havia sobre aquest rostre, senyor Holmes, però semblava enviar-me un escalofrillo a la meva esquena.	No sé què hi havia en aquell rostre, senyor Holmes, però semblava enviar-me un calfred esquena avall.	Preposició (*sobre/en). Demostratiu (*aquest/ aquell). Lèxic (?escalofrillo). Pèrdua de direcció (avall). Postedició elevada.
129	For three years I have kept her existence a secret from you, but I heard from the nurse, and I knew that all was well with her.	Durant tres anys he mantingut la seva existència en secret, però he escoltat de la infermera, i sabia que tot estava bé amb ella.	Durant tres anys t’he mantingut la seva existència en secret, però vaig tenir notícies de la infermera, i sabia que ella estava bé.	Omissió pronom feble. Locució (I heard from de nurse; all was well with her). Postedició elevada.
130	I think that she has gone out for a walk, she answered.	Crec que ha sortit a passejar, va respondre.	Crec que ha sortit a passejar, va respondre.	Correcte.
131	I had to choose between you, and in my weakness I turned away from my own little girl.	Vaig haver de triar entre tu i, en la meva debilitat, em vaig apartar de la meva pròpia nena.	Vaig haver de triar entre vosaltres dos i, en la meva debilitat, em vaig apartar de la meva pròpia nena.	Canvi persona verbal (you > *tu > vosaltres). Postedició mínima.
132	As we went I glanced back, and there was that yellow livid face watching us out of the upper window.	Mentre vam anar, vaig mirar enrere, i hi va haver una cara lívida groga que ens veia fora de la finestra superior.	Mentre marxàvem, vaig mirar enrere, i allà hi havia aquella lívida cara groga que ens mirava des de la finestra superior.	Errors en verbs i temps verbals (went > *van anar > marxàvem; there was that... > *hi va haver una > allà hi havia aquella...). Postedició elevada.
133	Holmes glanced reproachfully at me.	Holmes em va mirar de manera contundent.	Holmes em va mirar amb retret.	Lèxic ( reproachfully > *de manera contundent > amb retret). Postedició mínima.
134	If, on the other hand, as I fancy is more likely, the inmates were warned of your coming, and left before you entered yesterday, then they may be back now, and we should clear it all up easily.	Si, d'altra banda, com és molt probable, és més probable que els interns estiguin advertits de la vostra arribada, i que van sortir abans d'entrar ahir, que ja poden tornar, i ho hem d'aclarir fàcilment.	Si, d'altra banda, com és molt probable, els inquilins foren advertits de la vostra arribada, i van sortir abans que vós hi entréssiu ahir, ja poden haver tornat, i ho hauríem d'aclarir fàcilment.	Correlació temps verbals. Sintaxi discontínua. Postedició elevada.
135	What link could there be between that creature and my wife?	Quin vincle podria haver entre aquesta criatura i la meva dona?	Quin vincle hi podria haver entre aquesta criatura i la meva dona?	Omissió pronom feble (hi). Postedició mínima.
136	All the rest of the night I tossed and tumbled, framing theory after theory, each more unlikely than the last.	Tota la resta de la nit vaig tirar i va caure, emmarcant teoria després de la teoria, cada vegada més improbable que l'última.	Tota la resta de la nit vaig regirar-me i remoure’m, formulant teoria rere teoria, cada una més improbable que l'anterior.	Verbs molt específics (toss, tumble). Parell verb-CD (formular teories). Lèxic afegit (vegada). Postedició elevada.
137	If you come home with me, all will be well.	Si veniu a casa amb mi, tots estaran bé.	Si vens a casa amb mi, tot estarà bé.	Canvi semàntic. Postedició poca.
138	We can do nothing more until we have a message from our friend at Norbury.	No podem fer res més fins que tinguem un missatge del nostre amic a Norbury.	No podem fer res més fins que tinguem un missatge del nostre amic de Norbury.	Preposició (at > *a > de). Postedició mínima.
139	I could not see her face in the darkness, but her arms were thrown out in an attitude of entreaty.	No podia veure la seva cara a la foscor, però els seus braços van ser llançats en actitud d'entranyament.	No podia veure la seva cara en la foscor, però els seus braços van ser llançats en actitud de súplica.	Preposició (in > *a > en). Lèxic (entreaty > *entranyament > súplica). Postedició poca.
140	Might I beg you, as time may prove to be of importance, to furnish me with the facts of your case without further delay?	Podria demanar-li que, com que el temps pugui demostrar ser important, em proporcioni els fets del vostre cas sense més demora?	Podria demanar-vos que, com que el temps demostra ser d’importància, em proporcioneu els fets del vostre cas sense més demora?	Correlació verbal en subordinada intercalada. Postedició poca.
141	We have not had a difference, not one, in thought or word or deed.	No hem tingut una diferència, ni una sola, en el pensament ni en la paraula ni en l'escriptura.	No hem tingut una diferència, ni una sola, ni en el pensament ni en la paraula ni en l'obra.	Lèxic (deed) en expressió. Postedició mínima.
142	I can see that you have not slept for a night or two,” said Holmes, in his easy, genial way.	Puc veure que no has dormit durant una o dues nits, va dir Holmes, amb la seva senzilla i genialitat.	Puc veure que no heu dormit durant una o dues nits, va dir Holmes, amb la seva senzillesa i genialitat.	Barreja substantiu i adjectiu. Postedició poca.
143	There's one thing I ought to tell you before I go further.	Hi ha una cosa que he de dir abans de continuar.	Hi ha una cosa que us he de dir abans de continuar.	Pronom feble (us). Postedició mínima
144	It was evident to me that she was saying what was false.	Em va ser evident que estava dient el que era fals.	Em va semblar evident que deia una falsedat.	Locució «saying what was false». Postedició poca.
145	I pushed my precautions so far as to order her to keep the child in the house during the daytime, and to cover up her little face and hands so that even those who might see her at the window should not gossip about there being a black child in the neighborhood.	Vaig prémer les meves precaucions per demanar-li que mantingués el nen a la casa durant el dia i que cobreixi la seva petita cara i les mans, de manera que fins i tot aquells que podrien veure-la a la finestra no hagin de fer xafarderies sobre que hi ha un fill negre al barri.	Vaig extremar les meves precaucions fins al punt de demanar-li que mantingués la nena dins la casa durant el dia i que li cobrís la petita cara i les mans, de manera que fins i tot aquells que podrien veure-la a la finestra no poguessin fer xafarderies sobre que hi havia un infant negre al barri.	Lèxic de context (pushed). Omissió de locució de manera (so far as to > fins al punt de). Correlació verbal. Postedició moderada.
146	“You wish to employ me as a consulting detective?”	Voleu emprar-me com a detectiu de consultoria?	Voleu donar-me feina de detectiu privat?	Lèxic (employ > *emprar > contractar). Postedició poca.
147	But as I did so the face suddenly disappeared, so suddenly that it seemed to have been plucked away into the darkness of the room.	Però, com ho feia, el rostre va desaparèixer sobtadament, de sobte, que semblava haver estat arrossegat a la foscor de la sala.	Però, mentre ho feia, el rostre va desaparèixer sobtadament, tan de sobte que semblava haver estat arrossegat a la foscor de la sala.	Expressió temporal amb «as» (mentre). Omissió quantitatiu (so suddenly...). Postedició poca.
148	I shall be very much surprised, however, if it is still so when he reconnoitres it this evening.	Em sorprendrà, però, si encara ho és quan ho reconegui aquest vespre.	Em sorprendrà molt, però, si encara ho és quan ell el reconegui aquest vespre.	Omissió quantitatiu (very much). Postedició poca.
149	I saw my wife and the maid hurrying back along the lane, but I did not stop to speak with them.	Vaig veure a la meva dona i la donzella corrent cap al llarg del carril, però no vaig parar de parlar amb ells.	Vaig veure la meva dona i la criada tornar corrent per la pista, però no vaig parar a parlar amb elles.	Preposició (veure a). Lèxic (maid > *donzella > minyona/serventa; lane > *carril > pista/camí). Gènere. Postedició moderada.
150	Well, it must be the creature who lives in the only comfortable room in the place, and has her photograph above his fireplace.	Bé, ha de ser la criatura que viu a l'única habitació confortable del lloc, i té la seva fotografia sobre la seva llar de foc.	Bé, ha de ser la criatura que viu a l'única habitació confortable del lloc, i té la seva fotografia sobre la llar de foc.	Redundància de possessius. Postedició mínima.
151	All evening, though I tried to think of other things, my mind would still turn to the apparition at the window and the rudeness of the woman.	Tot el vespre, tot i que he intentat pensar en altres coses, la meva ment encara tornaria a l'aparició a la finestra i a la rudeza de la dona.	Tot el vespre, tot i que vaig intentar pensar en altres coses, la meva ment encara tornaria a l'aparició a la finestra i a la rudesa de la dona.	Correlació de temps verbals. Lèxic castellà (rudeza). Postedició mínima.
152	It seems dreadful to discuss the conduct of one's wife with two men whom I have never seen before.	Sembla horrible discutir la conducta de la dona amb dos homes que mai he vist abans. 	Sembla horrible discutir la conducta de la dona amb dos homes que mai he vist abans. 	Correcte.
